1,0.34428312858628257
2,0.7009019018364813
3,1.1499426352484334
4,1.5197334700153766
5,1.6279803646563815
6,1.819357530246141
7,1.9924937447873228
8,1.8875562218890554
9,3.3260869565217392
10,4.393351800554017
11,3.780952380952381
12,4.9868421052631575
13,4.573643410852713
14,3.7672413793103448
15,3.7403846153846154
16,3.1633466135458166
17,5.897435897435898
18,6.1891891891891895
19,9.64
20,4.666666666666667
21,5.96
22,2.4166666666666665
23,4.8125
24,6.4375
25,15.5
26,11.333333333333334
27,23.0
28,2.0
29,4.0
30,37.0
31,1.0
32,12.8
36,2.0
38,0.0
39,16.0
58,1.0
